Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Macario,1960,N/A,09 Jun 1960,91 min,"Drama, Fantasy, Mystery",Roberto Gavaldón,"B. Traven, Emilio Carballido, Roberto Gavaldón","Ignacio López Tarso, Pina Pellicer, Enrique Lucero","Poor, hungry peasant Macario longs for just one good meal on the Day of the Dead. After his wife cooks a turkey for him, he meets three apparitions, the Devil, God, and Death. Each asks him to share his turkey, but he refuses all except Death. In return, Death gives him a bottle of water which will heal any illness. Soon, Macario is more wealthy than the village doctor, which draws the attention of the feared Inquisition.",Spanish,Mexico,Nominated for 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNTVmOWJkNWYtYWJkYy00MDQ3LTlhY2UtMWIyYzcwNDVmYjA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.3,"4,542",tt0054042,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Madeinusa,2006,Not Rated,09 Nov 2006,100 min,Drama,Claudia Llosa,Claudia Llosa,"Magaly Solier, Carlos J. de la Torre, Yiliana Chong","Madeinusa is a 14-year-old girl with a sweet Indian face. She lives in an isolated village in Peru's Cordillera Blanca Mountain range, a strange place characterized by its religious fervor. From Good Friday at three o'clock in the afternoon (the time of day when Christ died on the cross) to Easter Sunday, everyone in the village can do whatever they want. During the two holy days sin does not exist: God is dead and can't see what is happening. Everything is accepted and allowed, without remorse. Year after year, Madeinusa, her sister Chale, and their father Don Cayo, the Mayor and local big shot, maintain this tradition without questioning it. However, everything changes with the arrival in the village of Salvador, a young geologist from Lima who will unknowingly change the girl's destiny.","Spanish, Quechua","Peru, Spain",11 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTczNjAxNzIwMF5BMl5BanBnXkFtZTcwMTcxOTI0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,6.8,"1,783",tt0476298,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lolita,1962,Approved,21 Jun 1962,153 min,"Crime, Drama, Romance",Stanley Kubrick,"Vladimir Nabokov, James B. Harris, Stanley Kubrick","James Mason, Shelley Winters, Sue Lyon","Humbert Humbert forces a confrontation with a man, whose name he has just recently learned, in this man's home. The events that led to this standoff began four years earlier. Middle aged Humbert, a European, arrives in the United States where he has secured at job at Beardsley College in Beardsley, Ohio as a Professor of French Literature. Before he begins his post in the fall, he decides to spend the summer in the resort town of Ramsdale, New Hampshire. He is given the name of Charlotte Haze as someone who is renting a room in her home for the summer. He finds that Charlotte, widowed now for seven years, is a woman who puts on airs. Among the demonstration of those airs is throwing around the name of Clare Quilty, a television and stage script writer, who came to speak at her women's club meeting and who she implies is now a friend. Those airs also mask being lonely, especially as she is a sexually aggressive and liberated woman. Humbert considers Charlotte a proverbial ""joke"" but decides to rent the room upon meeting Charlotte's provocative daughter, Dolores Haze - more frequently referred to as Lolita - who he first spots in a bikini tanning in the back yard. He is immediately infatuated with Lolita, with who he becomes obsessed in a sexual manner despite her age, she being just into her teens. He will also learn that Charlotte has the exact same feelings for him. While Charlotte does whatever she can to be alone with Humbert, Humbert does the same with Lolita. As the summer progresses, Humbert, based on the circumstances, decides to enter into a relationship with Charlotte just to be near Lolita. In that new arrangement, Humbert has to figure out how to achieve his goal of being with Lolita with Charlotte out of the way. As things begin to go Humbert's way, he is unaware that Charlotte is not the only thing standing in his way between him and Lolita, that other thing being Lolita's possible interest in other boys, and other members of the male sex, young or old, who may have their own designs on Lolita.","English, French, Spanish, German","United Kingdom, United States",Nominated for 1 Oscar. 2 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNmY2ZTEwZTAtOThkZS00MzkxLTk3MDUtOTJiMTgzOGI1MzdjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.5,"114,737",tt0056193,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lourdes,2009,Not Rated,17 Feb 2010,96 min,Drama,Jessica Hausner,Jessica Hausner,"Sylvie Testud, Léa Seydoux, Bruno Todeschini","In order to escape her isolation, wheelchair-bound Christine makes a life changing journey to Lourdes, the iconic site of pilgrimage in the Pyrenees Mountains.",French,"Austria, France, Germany",12 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BZjQyZWRkYTUtYzUzYy00M2E4LWFmNzAtOGY2N2VlYTdlMWU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.9,"3,809",tt1405809,movie,30 Mar 2022,N/A,N/A,N/A,True,CINE.pdf,
Malos hábitos,2005,N/A,11 May 2005,21 min,"Short, Thriller",Jesús Perujo,Ismael D. Sacaluga,"Pedro Pozo, Sara Bernal, Jesús Soto","Inspired on the DC/Vertigo comic book Hellblazer: Dangerous habits by Garth Ennis and William Simpson, Malos hábitos tells the story of supernatural detective Julio Constanza, who is diagnosed with terminal cancer. From that moment on, he will try to save his life and avoid an ordinary death.",Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0491561,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Mamma Roma,1962,Not Rated,18 Jan 1965,110 min,Drama,Pier Paolo Pasolini,Pier Paolo Pasolini,"Anna Magnani, Ettore Garofolo, Franco Citti","With a fervent yearning for respectability and enough money to buy herself a brand-new life in Rome, the uninhibited, fearless, determined former streetwalker Mamma Roma renounces her ignominious past to reunite with her loafing 16-year-old son Ettore. Free at last from her disgusting pimp and ex-lover Carmine, Roma is bent on making an honest living running a humble vegetable stall, but a malicious extortion scheme and the equally insidious menace of exposure threaten to put an end to her zealous aspirations for a decent bourgeois existence. For his own sake, Ettore must be spared the violence of the adult world; nevertheless, can a lone single mother protect her only son from the same snares that wounded her youth?",Italian,Italy,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZTJkZmVkNmItNDVjYS00ZTkyLTlhNWEtYWRhZjQxNTE0YmY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.8,"10,709",tt0056215,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Manderlay,2005,Not Rated,03 Jun 2005,139 min,Drama,Lars von Trier,Lars von Trier,"Bryce Dallas Howard, Isaach De Bankolé, Danny Glover","After gangster Mulligan's (Willem Dafoe's) cars colony, fleeing northern justice, finds a hiding place in Alabama, spoiled, naive daughter Grace (Bryce Dallas Howard) refuses to travel on after seeing the Manderlay cotton plantation being run under slavery rules, called Mam's (Lauren Bacall's) law, including flogging. She keeps half of dad's goons as guard to force the dying matriarch-owner's heirs, which she shamelessly dispossesses and reduces to ""staff"", to taste destitution under absurd, gun-imposed contracts. The ""slaves"" are made free partners, supposed to vote for progress after lessons from Grace. But almost all of her democracy-pupils prove to be fickle, dumb, and selfish, except old Wilhelm (Danny Glover). Her and their ignorance in Southern planting and crafty Dixie ways means more problems are created then solved. By the time dad returns to pick her up or abandon her for good, she's the one who has learned and changed the most.",English,"Denmark, Sweden, Netherlands, France, Germany, United Kingdom, Italy, United States",1 win & 16 nominations,https://m.media-amazon.com/images/M/MV5BZTM0NGQ3MTQtZDFhMy00NmFjLWFjN2QtNzljOWYyM2QzN2M4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,7.2,"25,547",tt0342735,movie,N/A,"$78,378",N/A,N/A,True,CINE.pdf,
Manhattan,1979,R,25 Apr 1979,96 min,"Comedy, Drama, Romance",Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Mariel Hemingway","Forty-two year old Isaac Davis has a romanticized view of his hometown, New York City, most specifically Manhattan, as channeled through the lead character in the first book he is writing, despite his own Manhattan-based life being more of a tragicomedy. He has just quit his job as a hack writer for a bad television comedy, he, beyond the ten second rush of endorphins during the actual act of quitting, now regretting the decision, especially as he isn't sure he can live off his book writing career. He is paying two alimonies, his second ex-wife, Jill Davis, a lesbian, who is writing her own tell-all book of their acrimonious split. The one somewhat positive aspect of his life is that he is dating a young woman named Tracy, although she is only seventeen and still in high school. Largely because of their differences a big part of which is due to their ages, he does not see a long term future with her. His life has the potential to be even more tragicomical when he meets journalist Mary Wilkie, the mistress of his best friend, college professor Yale Pollack. Although Isaac's first impression of Mary is that she is a pretentious intellectual, he falls for her. They do become friends with the potential of becoming more than just friends as she knows that being the ""other woman"" in Yale's life is not a long term role that she wants. An Isaac/Mary coupling may complicate matters even more with Yale being mutually in their lives. Regardless, Isaac may be able to rationalize events after they happen, no matter what those events are.",English,United States,Nominated for 2 Oscars. 16 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMzhjMjEyOWItMWU2Ni00ZTE5LWFhODEtZGU1MTQyZjU4ODkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.8,"153,547",tt0079522,movie,N/A,"$39,946,780",N/A,N/A,True,CINE.pdf,
Manos Libres,2021,N/A,24 Sep 2021,N/A,"Short, Thriller","Pablo Fuentes Fernández, Kike Maíllo",Pablo Fuentes Fernández,"Hiba Abouk, Joel Borras, Lluïsa Castell",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZGQzNzIyMWEtMWVlMS00N2NhLTkwZDctMzBkMWI1MzFkMjc2XkEyXkFqcGdeQXVyMTA2ODI3MjU0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}]",N/A,2.3,125,tt15521318,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Mañana será otro día,1967,N/A,17 Nov 1967,101 min,"Comedy, Drama",Jaime Camino,"Román Gubern, Marta J. Frías, Jaime Camino","Sonia Bruno, Juan Luis Galiardo, Alberto Berco","With the intention of making a career in the world of spectacle, Paco and Lisa flee to Barcelona in a stolen car. After seeking unsuccessful work, the two young people will immerse themselves in delinquency.","Spanish, French",Spain,N/A,https://m.media-amazon.com/images/M/MV5BNmZlM2M5YmYtOTU1Yy00Njc3LTlmMWYtYWJlMDVlNzQzZDhiXkEyXkFqcGdeQXVyMjExMDIwNzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,46,tt0060685,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Mar abierto,1946,N/A,21 Jul 1949,85 min,Drama,Ramón Torrado,"Adolfo Torrado, Ramón Torrado, H.S. Valdés","Maruchi Fresno, José María Lado, Jorge Mistral","Through a long flashback, the old Carmiña tells a painter her life in a small Galician village and how a miracle performed by the Virgin Mary saved the life of her beloved Antonio.","Spanish, Galician",Spain,N/A,https://m.media-amazon.com/images/M/MV5BN2I3NGE2Y2UtM2Y3OC00YTJiLWFhNGMtZmNmYmNkOGI2MmU2XkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,10,tt0038726,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Mar adentro,2004,N/A,01 Oct 2004,19 min,"Drama, Romance, Short",Mariana Chenillo,Mariana Chenillo,"Kevin Amper, Fernando Becerril, Verónica Langer",Ramón Sampedro is a Spanish ship mechanic and part-time poet who is left a quadriplegic after a diving accident. This film tells the true story of Sampedro's 30-year battle for the legal right to end his own life.,Spanish,Mexico,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,46,tt0427498,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
"Marcelino, pan y vino",2001–2011,N/A,15 Oct 2000,26 min,"Animation, Family",N/A,N/A,"Graciela Molina, Julia Gallego, Yasmina Córcoles","This is the magical story of a new-born baby abandoned on the doorstep of a Franciscan monastery, who grows up to become a cheerful and mischievous boy called Marcelino Pan y Vino. Marcelino, who is able to talk with animals, lives very closed to the animals, the trees and plants. He delights in discovering new things, and often asks unusual questions. The friars educate and love the boy.",French,"Japan, Spain, France, Italy, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BNjNiMDM5YmMtZDQwMy00YWQ5LWIxYmQtN2JlNDkzNDljNTY4XkEyXkFqcGdeQXVyMTYzMjc0Nzc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,187,tt0305062,series,,,,,True,CINE.pdf,1
Maria Candelaria,1944,Approved,11 Sep 1944,76 min,"Romance, Drama",Emilio Fernández,"Emilio Fernández, Mauricio Magdaleno","Dolores Del Río, Pedro Armendáriz, Alberto Galán","In Xochimilco 1909, María Candelaria and Lorenzo Rafael long for getting married but the odds are against them. Maria Candelaria is segregated for being a prostitute's child and the couple faces the greed of Mr. Damian, the town's shop owner who secretly desires Maria. When Maria falls sick with Malaria, Lorenzo Rafael steals a quinine bottle from Damian's shop, unleashing tragedy for the lovers.",Spanish,Mexico,3 wins,https://m.media-amazon.com/images/M/MV5BZGU0YjNlMzgtNTZiMC00ZGEwLTk5ZGMtODFmZDIzMGExNzM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.3,"1,255",tt0037054,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
María Isabel,1997–1998,N/A,04 Aug 1997,25 min,"Drama, Romance",N/A,N/A,"Adela Noriega, Fernando Carrillo, José Carlos Ruiz","Native American girl Maria Isabel makes friends with Graciela, a rich white girl, despite Graciela's father's opposition; their friendship lasts into their adulthood.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzRlOTBiNTctODYxMS00NDQ4LWExNTktZDMzNjBlNmY1OGMxXkEyXkFqcGdeQXVyMzQxNzU3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,187,tt0211828,series,,,,,True,CINE.pdf,1
Maria Magdalena,1963,N/A,01 Nov 1963,110 min,Drama,Rudolf Noelte,"Rudolf Noelte, Friedrich Hebbel","Cordula Trantow, Helmut Griem, Uwe Friedrichsen","The story revolves around the young Klara, who becomes pregnant because she gave herself to her admirer out of desperation before the marriage. Trapped in the narrowness of intolerant bourgeois morals, in the end she has no choice...",German,West Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,28,tt0186335,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Hugo: Más allá de las Fronteras,2018,N/A,14 Jun 2018,46 min,Documentary,"Victoriano Rubio, Alezeya Sánchez","Victoriano Rubio, Alezeya Sánchez",N/A,N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt11958578,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Por la Máscara: La Serie Web,2018–,N/A,14 Oct 2018,N/A,"Action, Comedy, Drama",N/A,N/A,"Daniel Martínez, Álex Perea, Alberich",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BY2UxZGI5YzktOTZiNS00Yjc5LTlkN2EtMWRiYTg0YWM1YzdlXkEyXkFqcGdeQXVyNjM0NDc4MDk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9191068,series,,,,,True,CINE.pdf,1
Matinee,1993,PG,29 Jan 1993,99 min,"Comedy, Drama",Joe Dante,"Charles S. Haas, Jerico Stone","John Goodman, Cathy Moriarty, Simon Fenton","A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BZGE5NzBmMDEtZjI0YS00MThkLTgyMjgtZjJjMzM4ZmYwY2EwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,6.9,"13,270",tt0107529,movie,N/A,"$9,532,895",N/A,N/A,True,CINE.pdf,
Matrimony,2007,Not Rated,08 Feb 2007,91 min,"Drama, Horror, Thriller",Hua-Tao Teng,"Chia-Lu Chang, Sin Ling Yeung","Leon Lai, Rene Liu, Bingbing Fan","A woman finds the key to a room in the attic that her husband forbids her from entering. When she opens the door, she is confronted with the haunting existence of the woman her husband refuses to forget.",Mandarin,China,2 wins,https://m.media-amazon.com/images/M/MV5BZmI2Yjk4OGMtZjgzNi00ODliLThjYjktNmIzYWYxNDE0ZWFjXkEyXkFqcGdeQXVyNDQwMTQ5ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,364,tt0819785,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Max Payne,2008,PG-13,17 Oct 2008,100 min,"Action, Crime, Drama",John Moore,"Beau Thorne, Sam Lake","Mark Wahlberg, Mila Kunis, Beau Bridges","Three years ago, NYPD detective Max Payne's wife and baby were murdered. Max gets himself transferred to the cold case office where he can continue searching for the killer who got away. He's a loner, but two people reach out to him during a fateful week: Alex, his ex-partner who may have found a clue, and BB, the security chief at the pharmaceutical company where Max's wife worked. Meanwhile, bodies are piling up, some as a result of a drug on the street that is highly addictive and, for many who take it, brings hideous hallucinations. When one of the bodies is a woman Payne was the last to see alive, her sister comes looking for him armed to the teeth; Max must move fast.","English, Russian, Spanish","United States, Canada",1 nomination total,https://m.media-amazon.com/images/M/MV5BNGY5NzEyZmEtMDUyYS00YTRmLWE0MjAtYTllM2YwMTg3OWUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.3,"133,347",tt0467197,movie,N/A,"$40,689,393",N/A,N/A,True,CINE.pdf,
